SUNE2,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2/20/2016,2,20,0,0,0,0,0,0,0,0.050043754,3.093327761,7.7374053,8.39786911,8.031038284,7.690353394,7.561572552,7.661593914,7.997627735,7.721196175,4.748497963,0.341345489,0,0,0,0,0
2/21/2016,2,21,0,0,0,0,0,0,0,0.050043754,3.093327761,7.7374053,8.39786911,8.031038284,7.735971451,7.692145348,7.817354679,7.997627735,7.721196175,4.748497963,0.341345489,0,0,0,0,0
2/22/2016,2,22,0,0,0,0,0,0,0,0.089975663,3.791015387,8.308759689,8.708891869,8.349094391,8.045149803,7.871147633,8.028092384,8.399497986,8.169523239,5.446622849,0.494524688,0,0,0,0,0
2/23/2016,2,23,0,0,0,0,0,0,0,0.089975663,3.791015387,8.308759689,8.708891869,8.349094391,8.045149803,7.871147633,8.028092384,8.399497986,8.169523239,5.584670067,0.525974512,0,0,0,0,0
2/24/2016,2,24,0,0,0,0,0,0,0,0.099406376,3.952753782,8.308759689,8.708891869,8.349094391,8.045149803,7.954112053,8.120817184,8.399497986,8.240742683,5.707613468,0.566615283,0,0,0,0,0
2/25/2016,2,25,0,0,0,0,0,0,0,0.120491542,3.952753782,8.308759689,8.708891869,8.349094391,8.045149803,7.954112053,8.120817184,8.399497986,8.240742683,5.707613468,0.566615283,0,0,0,0,0
2/26/2016,2,26,0,0,0,0,0,0,0,0.120491542,3.952753782,8.308759689,8.708891869,8.349094391,8.376272202,8.235952377,8.49547863,8.745652199,8.492977142,5.89405489,0.651834011,0,0,0,0,0
2/27/2016,2,27,0,0,0,0,0,0,0,0.222750202,4.384520531,8.399373055,8.708891869,8.406485558,8.376272202,8.235952377,8.49547863,8.745652199,8.492977142,5.931471348,0.662791014,0,0,0,0,0
2/28/2016,2,28,0,0,0,0,0,0,0,0.222750202,4.453913689,8.690041542,9.018754959,8.652189255,8.376272202,8.254818916,8.49547863,8.745652199,8.492977142,5.931471348,0.71797812,0,0,0,0,0
3/1/2016,3,1,0,0,0,0,0,0,0,0.278021693,4.453913689,8.690041542,9.018754959,8.652189255,8.376272202,8.254818916,8.49547863,8.745652199,8.492977142,5.931471348,0.71797812,0,0,0,0,0
3/2/2016,3,2,0,0,0,0,0,0,0,0.278021693,4.59374094,8.690041542,9.018754959,8.652189255,8.376272202,8.254818916,8.49547863,8.745652199,8.492977142,5.975326538,0.779081404,0,0,0,0,0
3/3/2016,3,3,0,0,0,0,0,0,0,0.278021693,4.645749569,8.690041542,9.018754959,8.652189255,8.376272202,8.254818916,8.49547863,8.745652199,8.492977142,5.975326538,0.787335515,0,0,0,0,0
3/4/2016,3,4,0,0,0,0,0,0,0,0.278021693,4.645749569,8.690041542,9.018754959,8.652189255,8.376272202,8.254818916,8.49547863,8.745652199,8.492977142,5.975326538,0.787335515,0,0,0,0,0
3/5/2016,3,5,0,0,0,0,0,0,0,0.278021693,4.645749569,8.690041542,9.018754959,8.652189255,8.303167343,8.254818916,8.473567963,8.561694145,8.314927101,5.975326538,0.787335515,0,0,0,0,0
3/6/2016,3,6,0,0,0,0,0,0,0,0.345623195,4.721908092,8.690041542,9.018754959,8.652189255,8.303167343,8.254818916,8.473567963,8.561694145,8.314927101,5.975326538,0.787335515,0,0,0,0,0
3/7/2016,3,7,0,0,0,0,0,0,0,0.345623195,4.721908092,8.633724213,8.944758415,8.54543972,8.24800396,8.159790039,8.417926788,8.561694145,8.314927101,5.975326538,0.787335515,0,0,0,0,0
3/8/2016,3,8,0,0,0,0,0,0,0,0.345623195,4.721908092,8.633724213,8.944758415,8.54543972,8.24800396,8.159790039,8.417926788,8.561694145,8.314927101,5.975326538,0.787335515,0,0,0,0,0
3/9/2016,3,9,0,0,0,0,0,0,0,0.345623195,4.721908092,8.285512924,8.855172157,8.54543972,8.218338013,8.159790039,8.417926788,8.490326881,7.901144028,5.895586967,0.787335515,0,0,0,0,0
3/10/2016,3,10,0,0,0,0,0,0,0,0.361746699,5.003478527,8.285512924,8.855172157,8.54543972,8.218338013,8.159790039,8.537288666,8.503708839,7.901144028,5.895586967,0.784549832,0,0,0,0,0
3/11/2016,3,11,0,0,0,0,0,0,0,0.601692438,5.675629616,8.920683861,9.097839355,8.699930191,8.418236732,8.159790039,8.537288666,8.503708839,8.110141754,5.895586967,0.784549832,0,0,0,0,0
3/12/2016,3,12,0,0,0,0,0,0,0,0.637626052,5.771533489,8.920683861,9.097839355,8.699930191,8.418236732,8.159790039,8.537288666,8.503708839,8.234192848,6.247915268,1.064533353,0,0,0,0,0
3/13/2016,3,13,0,0,0,0,0,0,0,0.697774291,5.842864037,8.920683861,9.117008209,8.715521812,8.418236732,8.285575867,8.537288666,8.503708839,8.234192848,6.247915268,1.086968899,0,0,0,0,0
3/14/2016,3,14,0,0,0,0,0,0,0,0.723573804,5.842864037,8.920683861,9.117008209,8.715521812,8.418236732,8.285575867,8.537288666,8.519112587,8.307407379,6.5154953,1.199939966,0,0,0,0,0
