SUNE1,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2/7/2016,2,7,0,0,0,0,0,0,0,0.015466243,2.587800741,7.301968098,7.863674164,7.455490589,7.052428246,6.915809155,7.264438152,7.466636181,7.142934799,3.835420847,0.112904467,0,0,0,0,0
2/8/2016,2,8,0,0,0,0,0,0,0,0.015466243,2.587800741,7.301968098,7.863674164,7.455490589,7.052428246,6.915809155,7.145678997,7.466636181,7.142934799,3.835420847,0.136713654,0,0,0,0,0
2/9/2016,2,9,0,0,0,0,0,0,0,0.024339292,2.587800741,7.301968098,7.863674164,7.481229782,7.052428246,6.904243469,7.082838535,7.225097179,6.89244175,3.835420847,0.158104002,0,0,0,0,0
2/10/2016,2,10,0,0,0,0,0,0,0,0.024339292,2.587800741,7.186563015,7.749512196,7.481229782,6.984166622,6.830471039,7.082838535,7.225097179,6.89244175,3.835420847,0.158104002,0,0,0,0,0
2/11/2016,2,11,0,0,0,0,0,0,0,0.024339292,2.587800741,7.239209652,7.749512196,8.028517723,7.584300995,7.093445778,7.150333881,7.374363899,7.525885105,4.29471159,0.219888136,0,0,0,0,0
2/12/2016,2,12,0,0,0,0,0,0,0,0.02639352,3.080398083,7.239209652,7.749512196,8.028517723,7.584300995,7.093445778,7.263438702,7.531930447,7.525885105,4.29471159,0.226732269,0,0,0,0,0
2/13/2016,2,13,0,0,0,0,0,0,0,0.02639352,3.080398083,7.639431,8.182676315,8.028517723,7.584300995,7.093445778,7.263438702,7.531930447,7.7833004,4.77862978,0.268006086,0,0,0,0,0
2/14/2016,2,14,0,0,0,0,0,0,0,0.048352547,3.28010726,7.639431,8.182676315,8.028517723,7.584300995,7.39823246,7.578775406,7.819078922,7.7833004,4.77862978,0.294019073,0,0,0,0,0
2/15/2016,2,15,0,0,0,0,0,0,0,0.048352547,3.400964499,7.662764072,8.182676315,8.028517723,7.584300995,7.39823246,7.578775406,7.819078922,7.7833004,4.77862978,0.315555394,0,0,0,0,0
2/16/2016,2,16,0,0,0,0,0,0,0,0.048492748,3.400964499,7.662764072,8.182676315,8.028517723,7.584300995,7.39823246,7.666199207,7.982897282,7.7833004,4.77862978,0.315555394,0,0,0,0,0
2/17/2016,2,17,0,0,0,0,0,0,0,0.055336494,3.581376553,7.762859821,8.293522835,8.028517723,7.584300995,7.4333992,7.666199207,7.982897282,7.7833004,5.044344902,0.377746761,0,0,0,0,0
2/18/2016,2,18,0,0,0,0,0,0,0,0.071147077,3.805411339,7.840418339,8.293522835,7.962084293,7.626540184,7.4333992,7.666199207,7.982897282,7.7833004,5.044344902,0.377746761,0,0,0,0,0
2/19/2016,2,19,0,0,0,0,0,0,0,0.081082709,3.805411339,7.840418339,8.293522835,8.00715065,7.669043541,7.537516594,7.714362144,7.982897282,7.7833004,5.044344902,0.377746761,0,0,0,0,0
